"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 02_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,6.156,6.164,6.172,110.84,27.46,28.90,100.00,5.06,0.016,0.008,94.03,95.60,5.933,5.974,6.172,6.172,94.03,95.06,1.02,205.38,,,  ,140.1,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@1.0 (273.0 -> 127.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.496,4.550,4.631,19.47,66.67,1.50,3.61,1.34,0.136,0.043,49.02,50.20,4.461,4.493,4.623,4.631,49.02,48.10,1.40,68.12,,,  ,127.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,4.631,4.664,4.713,16.33,46.75,1.05,3.03,0.94,0.081,0.066,50.20,51.60,4.623,4.631,4.680,4.705,48.10,47.54,0.99,64.20,,,  ,127.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.674,5.778,5.958,539.20,4440.06,100.00,100.00,89.49,0.285,0.149,214.57,385.08,5.518,5.534,5.958,5.991,214.57,332.54,2.74,797.08,,,  ,127.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.958,6.024,6.101,86.91,408.08,9.19,16.12,8.22,0.143,0.089,385.08,391.79,5.958,5.991,6.090,6.106,332.54,391.79,1.25,446.69,,,  ,127.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@14.0 (312.0 -> 180.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.420,4.450,4.476,8.47,12.49,3.31,13.06,0.73,0.056,0.028,51.77,52.42,4.263,4.409,4.458,4.491,51.77,52.42,0.89,60.58,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,4.492,4.515,4.530,10.29,11.81,3.14,15.86,0.69,0.038,0.026,52.61,53.05,4.458,4.491,4.531,4.547,52.61,53.05,0.69,63.16,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,4.534,4.563,4.587,11.27,16.66,4.42,17.38,0.98,0.053,0.030,53.09,53.71,4.531,4.547,4.645,4.710,53.09,53.71,0.90,64.71,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,4.826,4.897,4.976,13.72,65.36,17.35,21.15,3.83,0.151,0.099,48.05,46.94,4.800,4.824,4.954,5.043,48.05,46.94,0.84,61.24,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.136,5.214,5.260,27.63,93.74,24.89,42.59,5.49,0.124,0.047,60.12,61.57,5.075,5.124,5.271,5.303,60.12,61.57,0.61,88.66,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.320,5.352,5.369,34.77,68.66,18.23,53.61,4.02,0.049,0.033,62.56,78.16,5.271,5.303,5.360,5.369,62.26,62.84,0.53,97.42,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,5.369,5.393,5.474,40.02,150.39,39.93,61.69,8.81,0.106,0.080,78.16,70.53,5.360,5.369,5.466,5.483,62.84,64.07,2.76,103.14,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,5.474,5.499,5.515,16.58,28.70,7.62,25.56,1.68,0.041,0.031,70.53,71.44,5.466,5.483,5.507,5.539,64.07,64.55,1.25,80.94,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,5.515,5.572,5.642,22.29,85.69,22.75,34.37,5.02,0.127,0.060,71.44,66.03,5.507,5.539,5.645,5.678,64.55,66.03,0.69,87.51,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,5.678,5.711,5.719,15.01,24.30,6.45,23.14,1.42,0.041,0.028,64.09,66.05,5.645,5.678,5.735,5.768,64.09,66.05,0.25,80.67,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,5.780,5.834,5.915,18.95,79.20,21.03,29.21,4.64,0.136,0.081,67.64,70.05,5.735,5.768,5.907,5.932,67.64,69.22,1.61,87.21,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,5.915,5.997,6.096,56.84,335.06,88.96,87.63,19.62,0.181,0.108,70.05,95.90,5.907,5.932,6.072,6.096,69.22,71.33,1.65,127.02,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,6.096,6.171,6.229,62.64,376.64,100.00,96.57,22.05,0.132,0.127,95.90,117.31,6.072,6.096,6.196,6.229,71.33,72.88,0.59,134.84,,,  ,180.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,6.229,6.253,6.327,64.86,359.25,95.38,100.00,21.03,0.099,0.091,117.31,104.52,6.196,6.229,6.278,6.286,72.88,74.03,0.57,138.03,,,  ,180.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V (331.1 -> 185.1) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.351,4.489,4.561,9.12,42.99,31.81,21.95,5.16,0.209,0.059,45.63,45.94,4.343,4.416,4.546,4.562,42.78,45.94,1.00,53.99,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,4.819,4.847,4.858,9.23,11.33,8.38,22.21,1.36,0.038,0.021,49.84,50.42,4.652,4.814,4.969,5.090,49.84,50.42,0.29,59.49,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.157,5.261,5.307,24.22,92.45,68.40,58.26,11.10,0.151,0.045,49.85,51.38,5.139,5.147,5.310,5.326,49.85,51.38,0.42,75.13,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.394,5.440,5.461,11.57,18.02,13.34,27.83,2.16,0.067,0.029,58.61,60.10,5.367,5.375,5.457,5.473,58.61,60.10,0.38,71.21,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.581,5.587,5.603,3.24,2.06,1.52,7.80,0.25,0.022,0.014,63.45,63.51,5.530,5.538,5.603,5.611,63.45,63.51,2.91,66.70,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.652,5.677,5.709,35.24,61.67,45.63,84.76,7.40,0.057,0.031,87.46,94.30,5.603,5.611,5.718,5.718,87.46,94.30,2.49,125.65,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,5.731,5.742,5.747,5.49,1.84,1.36,13.20,0.22,0.016,0.009,98.60,98.56,5.718,5.718,5.750,5.766,98.60,98.56,0.48,104.06,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,5.754,5.824,5.855,37.87,135.16,100.00,91.08,16.23,0.101,0.069,97.49,113.46,5.750,5.766,5.856,5.864,97.49,113.46,0.65,146.32,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,5.878,5.939,5.963,41.58,122.50,90.64,100.00,14.71,0.085,0.055,130.72,145.44,5.856,5.864,5.963,5.972,130.72,130.72,0.57,172.30,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,5.963,5.988,6.009,26.25,48.76,36.08,63.12,5.85,0.046,0.037,145.44,130.72,5.963,5.972,6.021,6.029,130.72,130.72,0.79,156.97,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,6.062,6.120,6.136,23.64,63.73,47.15,56.84,7.65,0.074,0.048,130.73,138.73,6.021,6.029,6.128,6.136,130.72,130.72,0.31,154.36,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,6.136,6.161,6.194,32.35,83.06,61.45,77.82,9.97,0.058,0.042,138.73,155.71,6.128,6.136,6.186,6.194,130.72,130.72,1.00,163.08,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,6.194,6.203,6.236,35.39,79.03,58.47,85.12,9.49,0.041,0.058,155.71,154.56,6.186,6.194,6.236,6.244,130.72,130.72,2.50,166.12,,,  ,185.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,6.236,6.252,6.277,30.63,70.27,51.99,73.67,8.44,0.041,0.033,154.56,158.93,6.236,6.244,6.268,6.268,130.72,130.72,1.00,161.35,,,  ,185.1,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@12.0 (331.1 -> 153.1) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.506,4.562,4.616,2.47,5.09,1.58,2.64,0.61,0.110,0.031,45.75,45.76,4.343,4.465,4.611,4.636,45.72,45.76,1.05,48.21,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,4.636,4.701,4.717,6.69,17.41,5.41,7.13,2.07,0.081,0.032,45.75,48.45,4.611,4.636,4.709,4.717,45.75,48.45,0.27,54.59,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,4.717,4.750,4.815,9.61,21.39,6.64,10.26,2.55,0.098,0.034,48.45,45.81,4.709,4.717,4.815,4.864,45.76,45.78,0.83,55.38,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,4.867,4.896,4.920,5.31,7.34,2.28,5.66,0.87,0.053,0.023,47.24,47.59,4.815,4.864,4.912,4.920,47.24,47.59,0.70,52.74,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.037,5.066,5.072,3.98,4.26,1.32,4.25,0.51,0.035,0.020,48.77,49.94,5.017,5.033,5.074,5.082,48.77,49.94,0.22,53.72,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.090,5.107,5.131,10.87,17.68,5.49,11.60,2.10,0.041,0.030,52.54,52.46,5.074,5.082,5.155,5.164,52.54,52.46,1.55,63.38,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,5.164,5.196,5.212,2.34,3.87,1.20,2.49,0.46,0.049,0.031,47.02,46.67,5.155,5.164,5.204,5.212,46.59,46.67,0.24,48.98,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,5.213,5.245,5.253,5.94,6.88,2.14,6.34,0.82,0.039,0.021,47.16,50.05,5.204,5.212,5.253,5.261,47.16,50.05,0.29,55.43,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,5.297,5.367,5.397,25.89,75.35,23.40,27.62,8.97,0.100,0.051,50.51,55.17,5.294,5.302,5.400,5.408,50.51,55.17,0.50,79.68,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,5.404,5.465,5.505,29.87,107.18,33.29,31.87,12.76,0.101,0.059,55.30,57.48,5.400,5.408,5.506,5.514,55.30,57.48,0.68,86.49,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,5.624,5.652,5.676,19.22,24.76,7.69,20.51,2.95,0.052,0.026,104.23,119.89,5.506,5.514,5.677,5.693,104.23,119.89,2.06,132.12,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,5.791,5.840,5.848,15.15,56.06,17.41,16.17,6.67,0.057,0.017,116.59,150.76,5.759,5.759,5.857,5.857,103.42,150.76,0.85,159.15,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,5.873,5.906,5.931,23.58,45.50,14.13,25.16,5.42,0.058,0.043,159.50,177.71,5.857,5.857,5.939,5.939,154.91,177.71,1.98,191.56,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,5.947,5.980,5.997,19.42,35.21,10.94,20.72,4.19,0.050,0.057,176.90,213.27,5.939,5.939,6.021,6.029,176.90,213.27,2.61,220.63,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"15" ,6.041,6.063,6.112,35.65,66.94,20.79,38.03,7.97,0.071,0.031,230.11,245.06,6.021,6.029,6.079,6.087,230.11,251.42,1.37,272.21,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"16" ,6.115,6.187,6.310,63.06,321.96,100.00,67.28,38.33,0.195,0.067,252.27,213.98,6.079,6.087,6.211,6.211,252.27,311.13,0.47,336.99,,,  ,153.1,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"17" ,6.312,6.318,6.326,93.72,23.15,7.19,100.00,2.76,0.014,0.007,252.25,254.24,6.211,6.211,6.326,6.326,252.25,254.24,1.43,346.80,,,  ,153.1,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@12.0 (296.1 -> 150.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.402,4.435,4.482,17.48,40.48,40.49,62.46,16.79,0.081,0.039,50.16,48.73,4.378,4.426,4.459,4.629,48.73,48.73,1.22,66.22,,,  ,150.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,4.613,4.646,4.686,19.63,41.08,41.08,70.14,17.04,0.073,0.034,46.33,49.73,4.459,4.629,4.849,5.198,46.33,49.73,1.62,67.47,,,  ,150.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.932,6.006,6.047,27.99,99.99,100.00,100.00,41.48,0.115,0.076,74.31,83.94,5.614,5.671,6.022,6.105,74.31,83.94,1.79,108.46,,,  ,150.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,6.204,6.254,6.287,25.19,59.48,59.49,90.02,24.68,0.082,0.087,117.83,131.88,6.022,6.105,6.262,6.352,117.83,131.88,2.96,151.46,,,  ,150.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@8.0 (413.0 -> 281.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.423,4.447,4.480,1.44,2.44,3.82,4.35,0.72,0.057,0.030,46.44,45.83,4.423,4.431,4.577,4.609,45.73,45.73,1.19,47.18,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,4.609,4.642,4.715,3.28,6.51,10.18,9.89,1.92,0.105,0.031,45.73,45.74,4.577,4.609,4.845,4.926,45.73,45.73,1.38,49.00,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,4.982,5.015,5.023,6.04,9.66,15.10,18.24,2.86,0.041,0.023,45.75,48.79,4.845,4.926,5.031,5.039,45.75,48.79,0.30,54.23,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.340,5.349,5.381,13.37,19.27,30.14,40.35,5.70,0.041,0.032,63.78,62.28,5.308,5.316,5.397,5.406,63.78,62.28,4.14,76.85,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.423,5.438,5.457,10.85,11.43,17.88,32.73,3.38,0.034,0.022,78.24,80.18,5.397,5.406,5.454,5.462,78.24,80.18,1.47,89.92,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.552,5.601,5.617,19.48,39.67,62.05,58.79,11.73,0.065,0.027,50.99,73.43,5.536,5.544,5.625,5.633,50.99,73.43,1.18,87.32,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,5.731,5.748,5.756,8.74,6.12,9.58,26.39,1.81,0.024,0.013,63.01,60.57,5.723,5.723,5.772,5.780,63.01,60.57,0.21,70.13,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,5.821,5.829,5.862,9.95,15.75,24.63,30.03,4.66,0.041,0.030,70.05,64.60,5.772,5.780,5.871,5.871,70.05,64.60,1.40,78.91,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,5.879,5.912,5.920,8.31,11.50,17.99,25.09,3.40,0.041,0.027,62.80,75.49,5.871,5.871,5.928,5.928,62.80,75.49,1.16,81.27,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,5.936,5.953,5.961,8.94,5.75,8.99,26.97,1.70,0.025,0.010,76.49,76.94,5.928,5.928,5.969,5.977,76.49,76.94,0.58,85.73,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,6.019,6.043,6.060,33.14,51.38,80.37,100.00,15.19,0.041,0.029,98.59,100.09,5.969,5.977,6.068,6.076,98.59,100.09,0.67,132.63,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,6.132,6.159,6.207,22.21,46.03,72.01,67.03,13.61,0.075,0.038,118.93,123.26,6.068,6.076,6.216,6.216,118.93,123.26,2.55,142.69,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,6.229,6.290,6.323,18.00,63.93,100.00,54.31,18.90,0.094,0.080,124.55,136.65,6.216,6.216,6.331,6.331,124.55,129.94,0.91,146.05,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,6.323,6.331,6.365,9.09,12.56,19.64,27.44,3.71,0.042,0.036,136.65,132.34,6.323,6.323,6.374,6.374,129.94,132.34,5.32,139.51,,,  ,281.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"15" ,6.388,6.415,6.435,23.62,36.19,56.61,71.29,10.70,0.047,0.032,133.67,136.39,6.374,6.374,6.440,6.448,133.67,136.39,0.87,158.83,,,  ,281.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@20.0 (296.0 -> 164.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,5.370,5.427,5.630,38961.79,132428.26,100.00,100.00,100.00,0.260,0.051,78.98,160.37,5.353,5.370,5.638,5.663,78.98,90.38,1.83,39043.25,,,  ,164.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@12.0 (352.1 -> 220.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,5.186,5.252,5.292,17.42,60.02,25.90,33.06,9.58,0.106,0.056,53.21,55.36,5.097,5.146,5.292,5.309,53.21,55.36,0.66,71.96,,,  ,220.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.318,5.455,5.518,52.70,229.41,99.00,100.00,36.60,0.200,0.057,59.83,60.34,5.292,5.309,5.520,5.528,59.83,60.34,0.46,112.88,,,  ,220.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.530,5.561,5.664,24.92,81.88,35.34,47.29,13.06,0.134,0.037,60.37,60.71,5.520,5.528,5.732,5.847,60.37,60.71,3.46,85.37,,,  ,220.0,,,,,,,,,,,
