"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\19_B5.d" ,"6" ,3.145,3.288,3.467,19.89,149.28,51.55,38.02,21.93,0.322,0.116,-1.19,-0.44,3.141,3.146,3.465,3.471,-1.19,-1.25,1.32,18.68,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\19_B5.d" ,"7" ,3.467,3.568,3.696,20.45,103.24,35.65,39.09,15.17,0.229,0.077,-0.44,-1.29,3.465,3.471,3.771,3.774,-1.25,-1.29,1.08,19.19,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\19_B5.d" ,"8" ,7.105,7.297,7.505,19.90,289.60,100.00,38.03,42.55,0.400,0.299,-0.71,17.03,7.026,7.029,7.505,7.509,-0.71,17.03,1.74,27.69,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d"," DAD1 - B:Sig=260,4  Ref=360,60 20_B6.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"1" ,0.358,0.389,0.404,3.14,4.91,1.69,5.12,0.68,0.046,0.025,-1.76,-0.56,0.354,0.357,0.403,0.404,-1.76,-0.78,0.65,2.05,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"2" ,0.404,0.437,0.563,5.25,20.59,7.10,8.57,2.85,0.159,0.056,-0.56,-0.08,0.403,0.404,0.560,0.565,-1.41,-0.08,3.79,4.11,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"3" ,0.567,0.583,0.629,61.26,72.18,24.89,100.00,10.00,0.062,0.016,0.38,0.48,0.560,0.565,0.627,0.634,0.38,0.24,3.07,61.61,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"4" ,0.629,0.647,0.769,1.32,4.75,1.64,2.16,0.66,0.140,0.044,0.48,-0.07,0.627,0.634,0.813,0.815,0.24,-0.07,4.00,1.52,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"5" ,1.118,1.202,1.355,11.64,61.79,21.31,19.01,8.56,0.237,0.085,-0.59,-0.35,1.117,1.119,1.351,1.356,-0.59,-0.35,1.41,11.14,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"6" ,3.136,3.274,3.450,21.03,158.21,54.57,34.32,21.92,0.314,0.119,-1.08,-0.21,3.126,3.131,3.451,3.454,-1.08,-0.21,1.26,20.33,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"7" ,3.458,3.560,3.679,21.59,109.55,37.79,35.23,15.17,0.222,0.079,-0.21,-1.08,3.451,3.454,3.701,3.703,-0.21,-1.08,1.04,20.97,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\20_B6.d" ,"8" ,7.105,7.296,7.505,19.95,289.93,100.00,32.56,40.16,0.400,0.299,-0.73,17.03,7.026,7.030,7.505,7.509,-0.73,17.03,1.76,27.68,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d"," DAD1 - B:Sig=260,4  Ref=360,60 22_B7.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"1" ,0.363,0.383,0.400,2.96,4.05,1.39,8.50,0.69,0.037,0.023,-1.39,-1.61,0.354,0.356,0.402,0.404,-1.39,-1.61,0.81,1.46,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"2" ,0.404,0.436,0.550,5.03,18.54,6.37,14.43,3.18,0.146,0.060,-1.88,-0.05,0.402,0.404,0.549,0.552,-1.88,-0.05,4.34,3.55,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"3" ,0.586,0.602,0.651,34.86,47.26,16.22,100.00,8.11,0.065,0.018,0.18,0.07,0.566,0.570,0.648,0.655,0.18,-0.02,3.07,34.98,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"4" ,0.651,0.678,0.779,0.98,3.96,1.36,2.80,0.68,0.128,0.059,0.07,-0.39,0.648,0.655,0.778,0.780,-0.02,-0.43,2.14,0.87,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"5" ,1.169,1.239,1.356,10.30,41.61,14.29,29.55,7.14,0.187,0.062,-0.63,-0.39,1.166,1.174,1.355,1.358,-0.64,-0.65,1.70,9.66,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"6" ,3.225,3.338,3.493,15.87,103.33,35.47,45.54,17.74,0.268,0.102,-1.04,-0.70,3.202,3.205,3.502,3.505,-1.04,-0.70,1.26,14.98,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"7" ,3.508,3.600,3.707,15.99,72.47,24.88,45.87,12.44,0.199,0.071,-0.82,-1.33,3.507,3.511,3.725,3.729,-0.82,-1.33,1.10,14.94,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\22_B7.d" ,"8" ,7.099,7.287,7.505,20.37,291.31,100.00,58.43,50.01,0.406,0.300,-1.13,17.07,7.031,7.034,7.505,7.509,-1.13,17.07,1.94,27.66,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d"," DAD1 - B:Sig=260,4  Ref=360,60 23_B8.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"1" ,0.361,0.387,0.399,2.52,3.70,1.27,4.34,0.54,0.038,0.023,-1.41,-0.52,0.353,0.356,0.401,0.402,-1.41,-0.52,0.61,1.71,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"2" ,0.405,0.429,0.547,6.62,17.21,5.91,11.39,2.49,0.142,0.024,-0.25,0.12,0.401,0.402,0.558,0.562,-0.25,-0.09,4.55,6.40,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"3" ,0.569,0.586,0.633,58.08,69.16,23.75,100.00,10.02,0.064,0.016,0.15,0.37,0.558,0.562,0.630,0.637,0.15,0.25,3.04,58.26,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"4" ,1.105,1.200,1.345,11.51,58.43,20.06,19.82,8.46,0.240,0.082,-0.60,-0.32,1.104,1.105,1.344,1.348,-0.60,-0.32,1.29,11.02,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"5" ,3.133,3.262,3.424,19.83,146.67,50.36,34.15,21.25,0.291,0.118,-0.91,-0.08,3.081,3.086,3.434,3.444,-0.91,-0.08,1.23,19.29,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"6" ,3.449,3.548,3.680,19.89,103.94,35.69,34.24,15.06,0.232,0.082,-0.18,-1.24,3.447,3.450,3.704,3.706,-0.24,-1.24,1.04,19.22,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\23_B8.d" ,"7" ,7.099,7.291,7.505,20.19,291.24,100.00,34.76,42.19,0.406,0.300,-1.11,17.00,7.030,7.032,7.505,7.509,-1.11,17.00,1.85,27.67,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d"," DAD1 - B:Sig=260,4  Ref=360,60 24_B9.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"1" ,0.404,0.435,0.563,5.17,17.76,6.09,9.90,2.19,0.159,0.048,-0.56,-0.09,0.403,0.404,0.562,0.566,-0.56,-0.09,4.40,4.70,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"2" ,0.570,0.586,0.632,52.25,63.04,21.61,100.00,7.77,0.062,0.016,0.32,0.18,0.562,0.566,0.632,0.637,0.32,0.18,3.12,52.53,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"3" ,0.637,0.655,0.766,1.14,4.07,1.40,2.18,0.50,0.129,0.049,0.17,-0.07,0.632,0.637,0.764,0.767,0.17,-0.11,4.16,1.27,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"4" ,1.134,1.206,1.313,11.01,51.08,17.51,21.07,6.29,0.179,0.075,-0.50,-0.08,1.121,1.126,1.339,1.344,-0.50,-0.08,1.38,10.67,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"5" ,3.143,3.274,3.436,18.97,135.67,46.51,36.31,16.72,0.293,0.113,-1.05,-0.22,3.120,3.126,3.446,3.449,-1.05,-0.22,1.27,18.29,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"6" ,3.453,3.556,3.678,18.78,94.91,32.53,35.94,11.69,0.224,0.079,-0.35,-1.18,3.451,3.454,3.711,3.720,-0.35,-1.18,1.08,18.05,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"7" ,7.099,7.294,7.505,20.06,291.72,100.00,38.40,35.94,0.406,0.299,-1.15,17.02,7.031,7.034,7.505,7.509,-1.15,17.02,1.78,27.67,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\24_B9.d" ,"8" ,7.506,7.516,8.028,3.70,153.39,52.58,7.08,18.90,0.522,0.094,16.48,2.35,7.505,7.509,8.856,8.864,16.48,2.20,16.13,19.93,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d"," DAD1 - B:Sig=260,4  Ref=360,60 25_B10.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"1" ,0.362,0.389,0.401,2.45,3.85,1.32,4.91,0.58,0.039,0.025,-1.51,-0.52,0.355,0.356,0.404,0.405,-1.51,-0.52,0.62,1.62,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"2" ,0.405,0.439,0.564,4.20,16.31,5.58,8.42,2.46,0.160,0.055,-0.74,-0.16,0.404,0.405,0.564,0.566,-0.74,-0.16,4.23,3.59,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"3" ,0.575,0.592,0.642,49.93,63.24,21.62,100.00,9.54,0.067,0.017,0.08,0.05,0.564,0.566,0.641,0.646,0.08,0.05,3.13,50.00,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"4" ,0.644,0.666,0.753,1.07,3.56,1.22,2.14,0.54,0.108,0.054,0.04,-0.01,0.641,0.646,0.779,0.786,0.04,-0.01,3.73,1.10,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"5" ,1.146,1.208,1.337,13.17,52.99,18.12,26.37,8.00,0.191,0.063,-0.52,-0.30,1.134,1.146,1.337,1.339,-0.52,-0.30,1.67,12.72,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"6" ,3.160,3.281,3.437,20.41,135.01,46.16,40.88,20.37,0.277,0.104,-1.02,-0.21,3.149,3.151,3.453,3.458,-1.02,-0.21,1.26,19.75,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"7" ,3.460,3.556,3.685,19.47,95.20,32.55,39.00,14.37,0.225,0.076,-0.36,-1.24,3.453,3.458,3.699,3.702,-0.36,-1.24,1.11,18.73,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\25_B10.d" ,"8" ,7.096,7.295,7.505,20.11,292.49,100.00,40.28,44.14,0.410,0.299,-1.36,17.05,7.034,7.036,7.505,7.509,-1.36,17.05,1.77,27.70,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d"," DAD1 - B:Sig=260,4  Ref=360,60 26_B11.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"1" ,0.361,0.387,0.400,2.43,3.65,1.26,5.61,0.62,0.038,0.024,-1.49,-0.54,0.354,0.357,0.402,0.403,-1.49,-0.54,0.64,1.58,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"2" ,0.403,0.432,0.562,6.38,19.38,6.71,14.70,3.30,0.159,0.039,-0.77,-0.11,0.402,0.403,0.560,0.565,-0.77,-0.11,5.05,5.73,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"3" ,0.567,0.583,0.623,43.37,48.84,16.90,100.00,8.32,0.055,0.015,0.20,0.10,0.560,0.565,0.626,0.627,0.20,0.10,2.94,43.54,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"4" ,0.633,0.646,0.754,0.99,3.77,1.31,2.29,0.64,0.122,0.056,0.08,-0.10,0.626,0.627,0.753,0.756,0.08,-0.14,6.56,1.05,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"5" ,1.107,1.200,1.323,7.46,42.19,14.60,17.20,7.19,0.216,0.093,-0.60,-0.34,1.099,1.102,1.323,1.326,-0.60,-0.34,1.29,6.97,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"6" ,3.134,3.269,3.429,13.69,106.69,36.93,31.58,18.18,0.295,0.125,-1.00,-0.48,3.104,3.109,3.434,3.438,-1.00,-0.48,1.16,12.94,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"7" ,3.455,3.550,3.662,14.31,73.55,25.46,33.00,12.53,0.207,0.081,-0.44,-1.20,3.440,3.447,3.690,3.692,-0.44,-1.20,1.00,13.52,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\26_B11.d" ,"8" ,7.105,7.296,7.505,19.88,288.94,100.00,45.84,49.22,0.401,0.299,-0.73,17.07,7.026,7.029,7.505,7.509,-0.73,17.07,1.75,27.67,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d"," DAD1 - B:Sig=260,4  Ref=360,60 27_B12.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d" ,"1" ,0.405,0.435,0.560,4.70,16.14,5.57,11.51,2.76,0.156,0.049,-0.23,-0.08,0.402,0.404,0.559,0.573,-0.23,-0.08,3.83,4.50,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d" ,"2" ,0.581,0.597,0.646,40.82,51.42,17.75,100.00,8.80,0.065,0.017,0.25,0.13,0.559,0.573,0.649,0.651,0.25,0.13,3.31,41.05,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d" ,"3" ,1.146,1.211,1.355,11.23,43.31,14.95,27.51,7.41,0.209,0.059,-0.53,-0.42,1.142,1.147,1.354,1.362,-0.53,-0.42,1.70,10.73,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d" ,"4" ,3.171,3.285,3.435,16.78,107.78,37.20,41.11,18.44,0.265,0.101,-0.98,-0.36,3.149,3.154,3.451,3.453,-0.98,-0.36,1.29,16.07,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d" ,"5" ,3.465,3.557,3.680,15.77,76.13,26.28,38.62,13.02,0.215,0.075,-0.54,-1.32,3.459,3.464,3.720,3.724,-0.54,-1.32,1.10,14.89,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\27_B12.d" ,"6" ,7.103,7.298,7.505,19.83,289.73,100.00,48.58,49.57,0.402,0.299,-0.77,17.08,7.027,7.030,7.505,7.509,-0.77,17.08,1.72,27.69,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d"," DAD1 - B:Sig=260,4  Ref=360,60 28_C1.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"1" ,0.360,0.386,0.403,3.19,4.86,1.67,5.79,0.58,0.043,0.025,-1.71,-1.13,0.354,0.358,0.403,0.404,-1.71,-1.32,0.84,1.71,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"2" ,0.403,0.436,0.550,4.97,17.89,6.16,9.04,2.13,0.147,0.054,-1.13,0.05,0.403,0.404,0.563,0.565,-1.32,0.03,4.61,3.96,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"3" ,0.567,0.588,0.637,55.03,69.21,23.85,100.00,8.23,0.070,0.016,-0.11,0.19,0.563,0.565,0.634,0.641,-0.33,-0.13,3.15,54.76,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"4" ,0.637,0.656,0.732,1.34,4.17,1.44,2.44,0.50,0.095,0.060,0.19,0.18,0.634,0.641,0.771,0.774,-0.13,0.14,3.82,1.27,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"5" ,1.131,1.204,1.347,12.24,56.53,19.48,22.23,6.73,0.217,0.073,-0.54,-0.36,1.129,1.131,1.347,1.349,-0.54,-0.36,1.62,11.76,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"6" ,3.150,3.274,3.438,20.52,143.71,49.52,37.28,17.10,0.288,0.111,-1.01,-0.20,3.109,3.117,3.436,3.439,-1.01,-0.25,1.32,19.84,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"7" ,3.457,3.552,3.681,20.04,99.89,34.42,36.41,11.88,0.224,0.078,-0.24,-1.22,3.448,3.454,3.692,3.694,-0.24,-1.22,1.08,19.38,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"8" ,7.102,7.293,7.505,20.05,290.20,100.00,36.44,34.53,0.403,0.300,-0.82,17.02,7.026,7.030,7.505,7.509,-0.82,17.02,1.81,27.68,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\28_C1.d" ,"9" ,7.506,7.516,8.029,3.70,154.01,53.07,6.72,18.32,0.523,0.094,16.47,2.27,7.505,7.509,8.834,8.837,16.47,2.12,16.26,19.92,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d"," DAD1 - B:Sig=260,4  Ref=360,60 29_C2.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"1" ,0.404,0.435,0.564,4.88,16.76,5.77,9.55,2.54,0.159,0.048,-0.24,-0.13,0.403,0.404,0.563,0.566,-0.24,-0.13,3.78,4.65,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"2" ,0.573,0.589,0.637,51.03,63.37,21.82,100.00,9.62,0.063,0.016,0.43,0.25,0.563,0.566,0.636,0.643,0.43,0.25,3.17,51.42,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"3" ,0.642,0.667,0.790,0.98,3.47,1.20,1.93,0.53,0.148,0.050,0.24,-0.16,0.636,0.643,0.788,0.792,0.24,-0.18,2.43,1.15,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"4" ,1.143,1.209,1.314,11.95,51.81,17.84,23.41,7.86,0.171,0.069,-0.48,-0.06,1.137,1.140,1.313,1.315,-0.48,-0.14,1.53,11.60,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"5" ,3.150,3.283,3.459,19.89,137.86,47.47,38.98,20.92,0.310,0.109,-1.12,-0.32,3.148,3.152,3.452,3.463,-1.12,-0.32,1.30,19.12,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"6" ,3.463,3.557,3.684,19.29,95.22,32.79,37.80,14.45,0.220,0.077,-0.30,-1.21,3.452,3.463,3.692,3.695,-0.30,-1.21,1.09,18.60,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\29_C2.d" ,"7" ,7.100,7.294,7.505,20.06,290.41,100.00,39.32,44.07,0.405,0.299,-1.06,17.07,7.028,7.037,7.505,7.509,-1.06,17.07,1.81,27.66,,,  ,,,,,,,,,,,,

"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\30_C3.d"," DAD1 - B:Sig=260,4  Ref=360,60 30_C3.d"
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\30_C3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\30_C3.d" ,"1" ,0.361,0.391,0.401,2.36,3.65,1.25,4.57,0.56,0.040,0.023,-1.63,0.24,0.355,0.356,0.402,0.406,-1.63,0.24,0.63,2.14,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\30_C3.d" ,"2" ,0.404,0.434,0.561,5.44,18.20,6.25,10.51,2.79,0.157,0.047,0.01,-0.06,0.402,0.406,0.564,0.566,-0.24,-0.06,3.69,5.23,,,  ,,,,,,,,,,,,
"G:\6495\Studies\Jingjing\030222_Plate1 Rep1.s\30_C3.d" ,"3" ,0.570,0.585,0.630,51.73,61.18,21.02,100.00,9.38,0.060,0.016,0.59,0.40,0.564,0.566,0.633,0.634,0.59,0.40,3.19,52.27,,,  ,,,,,,,,,,,,
