"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\14_A12.d" ,"8" ,3.506,3.601,3.719,28.94,134.42,46.45,50.86,15.06,0.213,0.073,-0.77,-1.07,3.505,3.508,3.726,3.731,-0.78,-1.07,1.14,28.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\14_A12.d" ,"9" ,6.092,6.115,6.148,2.14,3.25,1.12,3.75,0.36,0.056,0.024,-5.40,-5.09,6.073,6.080,6.147,6.149,-5.40,-5.12,1.76,-3.15,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\14_A12.d" ,"10" ,7.095,7.289,7.505,19.91,289.39,100.00,35.00,32.41,0.410,0.302,-1.16,16.31,7.036,7.039,7.505,7.508,-1.16,16.31,1.86,27.02,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d"," DAD1 - B:Sig=260,4  Ref=360,60 15_B1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"1" ,0.362,0.378,0.391,21.53,23.00,8.02,55.18,3.33,0.029,0.032,-0.80,-32.40,0.353,0.356,0.393,0.394,-0.80,-32.40,0.37,3.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"2" ,0.407,0.424,0.477,11.71,28.74,10.03,30.01,4.16,0.070,0.040,-0.20,2.69,0.393,0.394,0.464,0.484,-0.20,-0.12,3.71,11.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"3" ,0.477,0.503,0.560,10.46,23.17,8.09,26.79,3.35,0.082,0.031,2.69,0.58,0.464,0.484,0.552,0.566,-0.12,-0.03,1.27,10.36,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"4" ,0.560,0.577,0.591,2.30,2.99,1.04,5.90,0.43,0.031,0.026,0.58,1.29,0.552,0.566,0.584,0.593,-0.03,0.00,0.66,2.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"5" ,0.591,0.609,0.686,39.03,59.03,20.60,100.00,8.55,0.096,0.021,1.29,0.49,0.584,0.593,0.749,0.754,0.00,0.11,2.89,39.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"6" ,1.165,1.220,1.325,16.38,53.31,18.60,41.97,7.72,0.160,0.050,-0.35,-0.23,1.157,1.162,1.324,1.328,-0.35,-0.23,1.53,16.07,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"7" ,3.186,3.303,3.433,19.47,117.25,40.92,49.89,16.97,0.247,0.095,-1.00,-0.30,3.160,3.170,3.498,3.502,-1.00,-0.30,1.22,18.80,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"8" ,3.504,3.601,3.716,19.91,92.47,32.27,51.03,13.39,0.212,0.073,-1.01,-1.28,3.498,3.502,3.720,3.725,-1.02,-1.28,1.14,18.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"9" ,3.821,3.866,3.930,1.29,4.24,1.48,3.31,0.61,0.110,0.052,-1.38,-1.77,3.820,3.824,3.957,3.960,-1.47,-1.77,0.99,-0.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\15_B1.d" ,"10" ,7.102,7.287,7.505,19.86,286.57,100.00,50.89,41.49,0.403,0.302,-0.65,16.35,7.026,7.034,7.505,7.509,-0.65,16.35,1.91,27.00,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d"," DAD1 - B:Sig=260,4  Ref=360,60 16_B2.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"1" ,0.407,0.423,0.479,10.69,26.24,9.21,27.50,4.05,0.072,0.038,-0.40,2.53,0.394,0.394,0.460,0.485,-0.40,-0.40,3.87,10.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"2" ,0.479,0.504,0.560,9.35,22.24,7.81,24.04,3.43,0.081,0.034,2.53,0.50,0.460,0.485,0.552,0.566,-0.40,-0.40,1.26,8.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"3" ,0.560,0.576,0.590,2.39,3.23,1.13,6.15,0.50,0.030,0.027,0.50,1.15,0.552,0.566,0.583,0.592,-0.40,-0.40,0.64,1.99,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"4" ,0.590,0.608,0.679,38.88,58.50,20.53,100.00,9.03,0.089,0.020,1.15,0.49,0.583,0.592,0.749,0.754,-0.21,-0.15,2.95,38.68,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"5" ,1.161,1.220,1.307,15.58,49.91,17.52,40.09,7.71,0.146,0.050,-0.41,-0.11,1.158,1.162,1.324,1.325,-0.41,-0.11,1.47,15.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"6" ,3.186,3.304,3.446,18.93,115.42,40.51,48.70,17.82,0.260,0.096,-1.03,-0.51,3.179,3.182,3.500,3.503,-1.03,-0.51,1.26,18.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"7" ,3.516,3.602,3.703,18.95,87.22,30.61,48.74,13.47,0.188,0.073,-0.98,-1.15,3.500,3.503,3.723,3.730,-0.98,-1.15,1.14,17.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\16_B2.d" ,"8" ,7.105,7.297,7.505,19.39,284.92,100.00,49.88,43.99,0.400,0.301,-0.49,16.39,7.027,7.030,7.505,7.509,-0.49,16.39,1.71,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d"," DAD1 - B:Sig=260,4  Ref=360,60 17_B3.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"1" ,0.361,0.379,0.391,19.63,21.33,7.46,50.28,2.51,0.030,0.032,-1.07,-26.92,0.354,0.355,0.394,0.394,-1.07,-26.92,0.37,3.83,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"2" ,0.406,0.423,0.472,11.30,27.31,9.56,28.94,3.21,0.066,0.040,-0.36,2.91,0.394,0.394,0.460,0.480,-0.36,-0.36,3.54,10.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"3" ,0.472,0.501,0.560,11.55,27.76,9.72,29.59,3.27,0.088,0.034,2.91,0.44,0.460,0.480,0.551,0.566,-0.36,-0.36,1.24,11.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"4" ,0.560,0.578,0.591,2.49,3.40,1.19,6.37,0.40,0.031,0.027,0.44,1.33,0.551,0.566,0.583,0.593,-0.36,-0.36,0.59,2.12,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"5" ,0.591,0.609,0.687,39.03,60.58,21.20,100.00,7.13,0.096,0.021,1.33,0.52,0.583,0.593,0.746,0.753,-0.17,-0.11,2.87,38.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"6" ,1.166,1.224,1.320,16.30,53.20,18.62,41.75,6.26,0.153,0.050,-0.35,-0.20,1.154,1.159,1.329,1.333,-0.35,-0.20,1.46,16.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"7" ,3.187,3.309,3.502,20.03,125.60,43.96,51.32,14.78,0.315,0.097,-1.05,-0.99,3.171,3.175,3.508,3.511,-1.05,-0.99,1.27,19.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"8" ,3.518,3.609,3.718,20.17,93.15,32.60,51.68,10.96,0.199,0.073,-0.99,-1.25,3.514,3.516,3.730,3.734,-0.99,-1.25,1.12,19.07,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"9" ,3.827,3.876,3.932,1.12,3.41,1.20,2.87,0.40,0.105,0.050,-1.40,-1.76,3.823,3.832,3.980,3.986,-1.40,-1.76,0.72,-0.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"10" ,7.103,7.291,7.505,19.67,285.74,100.00,50.39,33.62,0.402,0.302,-0.56,16.38,7.028,7.031,7.505,7.509,-0.56,16.38,1.82,27.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\17_B3.d" ,"11" ,7.506,7.516,8.031,3.54,148.43,51.94,9.08,17.46,0.524,0.094,15.82,2.06,7.505,7.509,8.767,8.789,15.82,1.92,16.22,19.12,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d"," DAD1 - B:Sig=260,4  Ref=360,60 18_B4.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"1" ,0.361,0.379,0.392,19.89,22.57,7.90,52.07,3.36,0.031,0.033,-1.07,-27.20,0.354,0.355,0.394,0.395,-1.07,-27.20,0.38,3.84,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"2" ,0.408,0.426,0.479,10.81,26.91,9.42,28.29,4.00,0.071,0.040,-0.32,2.38,0.394,0.395,0.464,0.485,-0.32,-0.32,3.47,10.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"3" ,0.479,0.507,0.560,11.12,26.37,9.23,29.10,3.92,0.081,0.034,2.38,0.69,0.464,0.485,0.552,0.566,-0.32,-0.32,1.15,10.80,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"4" ,0.560,0.577,0.590,2.69,3.62,1.27,7.03,0.54,0.030,0.027,0.69,1.49,0.552,0.566,0.582,0.592,-0.32,-0.32,0.58,2.36,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"5" ,0.590,0.607,0.679,38.21,56.41,19.74,100.00,8.39,0.089,0.020,1.49,0.49,0.582,0.592,0.743,0.749,-0.13,-0.06,2.92,38.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"6" ,1.156,1.215,1.318,16.15,50.43,17.65,42.27,7.50,0.162,0.048,-0.33,-0.19,1.153,1.158,1.318,1.320,-0.33,-0.19,1.56,15.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"7" ,3.184,3.294,3.426,18.93,112.72,39.45,49.56,16.76,0.242,0.094,-0.92,-0.23,3.170,3.174,3.484,3.487,-0.92,-0.23,1.29,18.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"8" ,3.499,3.596,3.701,18.83,87.78,30.72,49.29,13.05,0.202,0.073,-0.95,-1.17,3.494,3.498,3.719,3.727,-0.95,-1.17,1.09,17.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\18_B4.d" ,"9" ,7.103,7.287,7.505,19.83,285.73,100.00,51.90,42.49,0.402,0.302,-0.57,16.43,7.028,7.031,7.505,7.509,-0.57,16.43,1.91,27.06,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d"," DAD1 - B:Sig=260,4  Ref=360,60 19_B5.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"1" ,0.361,0.379,0.392,24.23,27.89,9.83,71.10,3.45,0.032,0.033,-1.10,-34.08,0.354,0.355,0.394,0.395,-1.10,-34.08,0.38,4.04,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"2" ,0.408,0.426,0.477,12.51,31.62,11.14,36.71,3.91,0.070,0.041,-0.33,3.00,0.394,0.395,0.464,0.484,-0.33,-0.33,3.36,12.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"3" ,0.477,0.507,0.561,12.81,32.24,11.36,37.59,3.98,0.084,0.036,3.00,0.95,0.464,0.484,0.553,0.566,-0.33,-0.33,1.20,12.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"4" ,0.561,0.577,0.591,3.30,4.42,1.56,9.68,0.55,0.030,0.027,0.95,1.86,0.553,0.566,0.584,0.593,-0.33,-0.33,0.67,2.97,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"5" ,0.591,0.608,0.666,34.08,50.23,17.70,100.00,6.21,0.075,0.020,1.86,0.27,0.584,0.593,0.743,0.754,-0.13,-0.08,2.86,33.96,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"6" ,1.157,1.213,1.324,14.30,44.74,15.76,41.97,5.53,0.167,0.048,-0.33,-0.20,1.147,1.154,1.324,1.327,-0.33,-0.20,1.60,14.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"7" ,3.174,3.291,3.489,17.41,108.07,38.08,51.07,13.35,0.316,0.095,-1.02,-1.01,3.171,3.174,3.489,3.493,-1.02,-1.01,1.28,16.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"8" ,3.500,3.595,3.705,16.61,78.08,27.51,48.75,9.65,0.206,0.074,-0.99,-1.27,3.494,3.497,3.723,3.736,-0.99,-1.27,1.10,15.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"9" ,7.108,7.289,7.505,19.64,283.80,100.00,57.63,35.07,0.397,0.302,-0.22,16.43,7.024,7.027,7.505,7.509,-0.22,16.43,1.87,27.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\19_B5.d" ,"10" ,7.506,7.515,8.031,3.56,148.14,52.20,10.44,18.31,0.525,0.094,15.87,2.08,7.505,7.509,8.838,8.847,15.87,1.95,16.85,19.19,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d"," DAD1 - B:Sig=260,4  Ref=360,60 20_B6.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"1" ,0.362,0.379,0.392,21.51,23.80,8.32,53.34,3.38,0.030,0.033,-0.72,-30.61,0.354,0.355,0.394,0.395,-0.72,-30.61,0.37,4.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"2" ,0.408,0.425,0.481,11.85,30.01,10.49,29.37,4.26,0.073,0.040,-0.37,2.57,0.394,0.395,0.465,0.487,-0.37,-0.37,3.70,11.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"3" ,0.481,0.509,0.560,11.39,28.42,9.94,28.24,4.04,0.080,0.036,2.57,1.07,0.465,0.487,0.553,0.566,-0.37,-0.37,1.28,11.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"4" ,0.560,0.576,0.591,3.35,4.71,1.65,8.29,0.67,0.031,0.029,1.07,1.69,0.553,0.566,0.584,0.593,-0.37,-0.37,0.71,2.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"5" ,0.591,0.608,0.684,40.34,60.67,21.21,100.00,8.62,0.092,0.020,1.69,0.60,0.584,0.593,0.748,0.751,-0.15,-0.08,2.96,40.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"6" ,1.164,1.220,1.328,16.98,53.49,18.70,42.10,7.60,0.164,0.048,-0.34,-0.19,1.158,1.160,1.327,1.336,-0.34,-0.19,1.58,16.69,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"7" ,3.187,3.303,3.444,20.40,122.45,42.81,50.57,17.40,0.257,0.095,-0.98,-0.33,3.169,3.172,3.477,3.480,-0.98,-0.33,1.28,19.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"8" ,3.508,3.604,3.727,20.04,94.12,32.90,49.68,13.38,0.220,0.074,-0.95,-1.30,3.505,3.508,3.728,3.734,-0.95,-1.30,1.12,18.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\20_B6.d" ,"9" ,7.103,7.294,7.505,19.54,286.05,100.00,48.44,40.65,0.402,0.302,-0.56,16.39,7.026,7.033,7.505,7.509,-0.56,16.39,1.75,27.05,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d"," DAD1 - B:Sig=260,4  Ref=360,60 22_B7.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"1" ,0.361,0.380,0.394,19.50,22.46,7.88,72.37,3.63,0.032,0.033,-1.16,-26.72,0.354,0.355,0.396,0.396,-1.16,-26.72,0.38,3.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"2" ,0.410,0.427,0.481,9.96,24.26,8.51,36.95,3.92,0.071,0.038,-0.22,2.02,0.396,0.396,0.466,0.487,-0.22,-0.13,3.53,9.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"3" ,0.481,0.509,0.560,10.32,23.45,8.23,38.28,3.79,0.079,0.033,2.02,0.68,0.466,0.487,0.553,0.567,-0.13,-0.03,1.03,10.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"4" ,0.560,0.579,0.601,2.24,3.35,1.18,8.30,0.54,0.040,0.024,0.68,0.60,0.553,0.567,0.592,0.604,-0.03,0.02,1.00,2.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"5" ,0.601,0.623,0.709,26.95,44.93,15.76,100.00,7.26,0.108,0.023,0.60,0.29,0.592,0.604,0.770,0.772,0.02,0.16,2.44,27.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"6" ,1.201,1.255,1.363,13.44,42.17,14.80,49.86,6.81,0.163,0.048,-0.49,-0.40,1.193,1.201,1.362,1.367,-0.49,-0.40,1.58,12.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"7" ,3.240,3.365,3.541,16.41,100.39,35.22,60.90,16.21,0.301,0.095,-1.17,-1.19,3.228,3.233,3.549,3.551,-1.18,-1.19,1.22,15.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"8" ,3.563,3.642,3.744,17.09,73.13,25.66,63.42,11.81,0.182,0.067,-1.15,-1.39,3.555,3.557,3.752,3.754,-1.15,-1.39,1.15,15.83,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\22_B7.d" ,"9" ,7.106,7.292,7.505,19.58,285.01,100.00,72.65,46.03,0.400,0.302,-0.42,16.41,7.026,7.030,7.505,7.509,-0.42,16.41,1.80,27.02,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d"," DAD1 - B:Sig=260,4  Ref=360,60 23_B8.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"1" ,0.362,0.379,0.392,20.17,21.86,7.66,59.82,3.32,0.030,0.033,-0.66,-29.20,0.353,0.355,0.394,0.394,-0.66,-29.20,0.36,3.83,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"2" ,0.408,0.424,0.481,11.77,29.27,10.26,34.92,4.45,0.073,0.039,-0.15,2.59,0.394,0.394,0.465,0.487,-0.15,-0.04,3.86,11.65,,,  ,,,,,,,,,,,,
